Luft, Natürlich
Stein, Natürlich
Gras, Pflanze
Erde, Natürlich
Pflasterstein, Natürlich
Holz, Hergestellt
Setzling, Pflanze
Bedrock, Natürlich
Wasser, Flüssig
Wasser (Stehend), Flüssig
Lava, Flüssig
Lava (Stehend), Flüssig
Sand, Natürlich
Kies, Natürlich
Gold (Erz), Erze
Eisen (Erz), Erze
Kohle, Erze
Baumstamm, Pflanze
Blätter, Pflanze
Schwamm, Nicht verwendet
Glas, Hergestellt
Lapis Lazuli (Erz), Erze
Lapis Lazuli (Block), Hergestellt
Schleuderkiste, Mechanisch
Sandstein, Natürlich
Notenblock, Mechanisch
Bett, Hilfsmittel
Schiene (Booster), Mechanisch
Schiene (Detektor), Mechanisch
Kolben (Haftend), Mechanisch
Spinnennetz, Nicht verwendet
Hohes Gras, Pflanze
Toter Strauch, Pflanze
Kolben, Mechanisch
Kolben (Kopf), Mechanisch
Wolle, Hergestellt
Verschobener Block, Mechanisch
Löwenzahn, Pflanze
Rose, Pflanze
Brauner Pilz, Pflanze
Fliegenpilz, Pflanze
Gold (Block), Hergestellt
Eisen (Block), Hergestellt
Stufe (Doppelt), Hergestellt
Stufe (Einzeln), Hergestellt
Ziegelstein, Hergestellt
TNT, Hilfsmittel
Bücherregal, Hergestellt
Mosiger Pflastersein, Natürlich
Obsidian, Natürlich
Fackel, Unbeständig
Feuer, Unbeständig
Mob-Spawner, Natürlich
Treppe (Holz), Hergestellt
Truhe, Hilfsmittel
Redstone (Kabel), Mechanisch
Diamant (Erz), Erze
Diamant (Block), Hergestellt
Werkbank, Hilfsmittel
Getreide, Pflanze
Ackerboden, Hergestellt
Ofen, Hilfsmittel
Ofen (brennend), Hilfsmittel
Schild, Unbeständig
Tür (Holz), Mechanisch
Leiter, Hergestellt
Schiene, Mechanisch
Treppe (Stein), Hergestellt
Schild (Wand), Unbeständig
Hebel, Mechanisch
Druckplatte (Stein), Mechanisch
Tür (Eisen), Mechanisch
Druckplatte (Holz), Mechanisch
Redstone (Erz), Erze
Redstone (Erz, flimmernd), Erze
Redstone Fackel (on), Mechanisch
Redstone Fackel (off), Mechanisch
Steinschalter, Mechanisch
Schnee, Natürlich
Eis, Natürlich
Schnee (Block), Hergestellt
Kaktus, Pflanze
Lehm, Natürlich
Zuckerrohr, Pflanze
Jukebox, Hilfsmittel
Zaun, Hergestellt
Kürbis, Pflanze
Höllenstein, Nether
Seelensand, Nether
Glimmerstein, Nether
Portal, Unbeständig
Jack-O-Lantern, Hergestellt
Kuchen, Hilfsmittel
Redstone-Verstärker (off), Mechanisch
Redstone-Verstärker (on), Mechanisch
Truhe (verschlossen), Nicht verwendet
Falltür, Mechanisch
