Aire/es, Natural
Piedra, Natural
Hierba, Plantas
Tierra, Natural
Adoquín, Natural
Tablas, Manufacturados
Esquejes, Plantas
Roca madre, Natural
Agua Infinita, Líquidos
Agua, Líquidos
Lava, Líquidos
Lava (static), Líquidos
Arena, Natural
Grava, Natural
Oro, Minerales
Hierro, Minerales
Carbón, Minerales
Madera, Plantas
Hojas, Plantas
Esponja, En desuso
Cristal, Manufacturados
Lapislázuli, Minerales
Lapislázuli, Manufacturados
Dispensador, Mecanismos
Piedra arenosa, Natural
Bloque de nota, Mecanismos
Cama, Utensilios
Vía (energética), Mecanismos
Vía (detectora), Mecanismos
Piston (sticky), Mecanismos
Cobweb/es, En desuso
Hierba alta, Plantas
Arbusto seco, Plantas
Pistón, Mecanismos
Pistón (head), Mecanismos
Lana, Manufacturados
Pistón (moving piece), Mecanismos
Flor Amarilla, Plantas
Flor Roja, Plantas
Champiñón Marrón Marron, Plantas
Champiñón Rojo Rojo, Plantas
Oro, Manufacturados
Hierro (Block)/es, Manufacturados
Escalón (Double), Manufacturados
Escalón (Single), Manufacturados
Ladrillo, Manufacturados
TNT, Utensilios
Estantería, Manufacturados
Piedra musgosa, Natural
Obsidiana, Natural
Antorcha, Intangibles
Fuego, Intangibles
Spawner, Natural
Escaleras (Tablas), Manufacturados
Cofre, Utensilios
Piedraroja (wire), Mecanismos
Diamante, Minerales
Diamante, Manufacturados
Mesa de trabajo , Utensilios
Semillas, Plantas
Tierra de cultivo, Manufacturados
Horno, Utensilios
Horno (activo), Utensilios
Cartel (free), Intangibles
Puerta De Madera, Mecanismos
Escala, Manufacturados
Vía, Mecanismos
Escaleras (Piedra), Manufacturados
Cartel (wall), Intangibles
Palanca, Mecanismos
Placas de piedra, Mecanismos
Puerta De Hierro, Mecanismos
Placas de madera, Mecanismos
Piedrarroja, Minerales
Piedrarroja (glow), Minerales
Piedrarroja, Mecanismos
Piedrarroja, Mecanismos
Botón, Mecanismos
Nieve, Natural
Hielo, Natural
Nieve, Manufacturados
Cactos, Plantas
Arcilla, Natural
Cana de azúcar, Plantas
Gramola, Utensilios
Valla, Manufacturados
Calabaza, Plantas
Netherrack, Nether
Arena de espíritu, Nether
Piedra brillante, Nether
Portal, Intangibles
Jack-O-Lantern, Manufacturados
Tarta, Utensilios
Piedrarroja Repetidor (off), Mecanismos
Piedrarroja Repetidor (on), Mecanismos
Cofre cerrado, En desuso
Trampilla, Mecanismos
