Air, Naturels
Roche, Naturels
Herbe, Plantes
Terre, Naturels
Pierre taillée, Naturels
Planche, Fabriqué
Pousse d'arbre, Plantes
Bedrock, Naturels
Eau, Fluides
Eau (stationnaire), Fluides
Lave, Fluides
Lave (stationnaire), Fluides
Sable, Naturels
Gravier, Naturels
Or (minerai), Minerais
Fer (minerai), Minerais
Charbon (minerai), Minerais
Bois, Plantes
Feuillage, Plantes
Éponge, Non-utilises
Verre, Fabriqué
Lapis-lazuli (minerai), Minerais
Lapis-lazuli (bloc), Fabriqué
Distributeur, Mécanismes
Grès, Naturels
Bloc musical, Mécanismes
Lit, Utilitaires
Rails de propulsion, Mécanismes
Rails de détection, Mécanismes
Piston collant, Mécanismes
Toile d'araignée, Non-utilises
Herbes hautes, Plantes
Arbuste mort, Plantes
Piston, Mécanismes
Icône , Mécanismes
Piston, Fabriqué
Laine blanche, Mecanismos
Pissenlit, Plantes
Rose, Plantes
Champignon brun, Plantes
Champignon rouge, Plantes
Or (bloc), Fabriqué
Fer (bloc), Fabriqué
Double dalle en pierre, Fabriqué
Dalle en pierre, Fabriqué
Brique (bloc), Fabriqué
TNT, Utensilios
Bibliothèque, Fabriqué
Pierre moussue, Naturels
Obsidienne, Naturels
Torche, Non-solides
Feu, Non-solides
Générateur de monstre, Naturels
Escaliers en bois, Fabriqué
Coffre, Utensilios
Redstone (câble), Mécanismes
Diamant (minerai), Minerais
Diamant (bloc), Fabriqué
Établi, Utensilios
Blé, Plantes
Terre labourée, Fabriqué
Four, Utensilios
Four (actif), Utensilios
Panneau, Non-solides
Porte en bois, Mécanismes
Échelle, Fabriqué
Rails, Mécanismes
Escaliers en pierre, Fabriqué
Panneau mural, Non-solides
Levier, Mécanismes
Plaque de détection en pierre, Mécanismes
Porte en fer, Mécanismes
Plaque de détection en bois, Mécanismes
Redstone (minerai), Minerais
Redstone (minerai), Minerais
Redstone (torche), Mécanismes
Redstone (torche, active), Mécanismes
Bouton en pierre, Mécanismes
Neige, Naturels
Glace, Naturels
Neige (bloc), Fabriqué
Cactus, Plantes
Argile (bloc), Naturels
Canne à sucre, Plantes
Jukebox, Utensilios
Barrière, Fabriqué
Citrouille, Plantes
Netherrack, L'Ailleurs
Soulsand, L'Ailleurs
Glowstone, L'Ailleurs
Portail, Non-solides
Citrouille-lanterne, Fabriqué
Gâteau, Utensilios
Redstone (répéteur), Mécanismes
Redstone (répéteur, actif), Mécanismes
Coffre (renfermé), Non-utilises
Trappe, Mécanismes
