Lucht, Natuurlijk
Steen, Natuurlijk
Gras, Planten
Aarde, Natuurlijk
Keien, Natuurlijk
Houten plank, Fabricaat
Plantjes, Planten
Grondgesteente, Natuurlijk
Water, Vloeistoffen
Water (static), Vloeistoffen
Lava, Vloeistoffen
Lava (static), Vloeistoffen
Zand, Natuurlijk
Grind, Natuurlijk
Goud (erts), Erts
Ijzer (erts), Erts
Kolen, Erts
Hout, Planten
Bladeren, Planten
Spons, Unused
Glas, Fabricaat
Lazuursteen (erts), Erts
Lazuursteen (blok), Fabricaat
Dispenser, Mechanismen
Zandsteen, Natuurlijk
Toon blok, Mechanismen
Bed, Hulpmidde
Spoor (aangedreven), Mechanismen
Spoor (detectie), Mechanismen
Zuiger (plakkerige), Mechanismen
Spinnenweb, Unused
Hoog Gras, Planten
Dode struik, Planten
Zuiger, Mechanismen
Zuiger (hoofd), Mechanismen
Wol, Fabricaat
Piston (moving piece), Mecanismos
Paardebloem, Planten
Rose, Planten
Champignon, Planten
Toadstool, Planten
Goud (blok), Fabricaat
Ijzer (blok), Fabricaat
Plaat (double), Fabricaat
Plaat (single), Fabricaat
Bakstenen (blok), Fabricaat
Dynamiet, Utensilios
Boekenplank, Fabricaat
Mos steen, Natuurlijk
Obsidiaan, Natuurlijk
Toorts, Niet solide
Vuur, Niet solide
Monster spawer, Natuurlijk
Trap (hout), Fabricaat
Kist, Utensilios
Redstone (draad), Mechanismen
Diamant (blok), Erts
Diamant (blok), Fabricaat
Werktafel, Utensilios
Zaden, Planten
Bouwgrond, Fabricaat
Oven, Utensilios
Oven (active), Utensilios
Bord (free), Niet solide
Deur (hout), Mechanismen
Ladder, Fabricaat
Spoor, Mechanismen
Trap (steen), Fabricaat
Bord (wall), Niet solide
Hendel, Mechanismen
Drukplaat (steen), Mechanismen
Deur (staal), Mechanismen
Drukplaat (hout), Mechanismen
Redstone (erts), Erts
Redstone (erts, glow), Erts
Redstone (fakkel, aan), Mechanismen
Redstone (fakkel, uit), Mechanismen
Stenen knop, Mechanismen
Sneeuw, Natuurlijk
Ijs, Natuurlijk
Sneeuw (blok), Fabricaat
Cactus, Planten
Klei blok, Natuurlijk
Suikerriet, Planten
Muziekdoos, Utensilios
Hek, Fabricaat
Pompoen, Planten
Nederwereld raster, Nederwereld
Ziel zand, Nederwereld
Gloeisteen blok, Nederwereld
Portaal, Niet solide
Pompoen-lantaarn, Fabricaat
Taart, Utensilios
Redstone (doorgever, uit), Mechanismen
Redstone (doorgever, aan), Mechanismen
Vergrendelde kist, Unused
Valluik, Mechanismen
